Player,HoF
Hobey Baker,1
Charlie Gardiner,1
Eddie Gerard,1
Frank McGee,1
Howie Morenz,1
Tommy Phillips,1
Harvey Pulford,1
Hod Stuart,1
Georges Vezina,1
Russell Bowie,1
Dit Clapper,1
Aurele Joliat,1
Frank Nighbor,1
Lester Patrick,1
Eddie Shore,1
Cyclone Taylor,1
Dan Bain,1
Art Ross,1
Scotty Davidson,1
Graham Drinkwater,1
Mike Grant,1
Si Griffis,1
Newsy Lalonde,1
Joe Malone,1
George Richardson,1
Harry Trihey,1
Dickie Boon,1
Bill Cook,1
Moose Goheen,1
Moose Johnson,1
Mickey MacKay,1
Nels Stewart,1
Frank Boucher,1
King Clancy,1
Sprague Cleghorn,1
Alec Connell,1
Red Dutton,1
Frank Foyston,1
Frank Fredrickson,1
Herb Gardiner,1
George Hay,1
Dick Irvin,1
Ivan Johnson,1
Duke Keats,1
Hugh Lehman,1
George McNamara,1
Paddy Moran,1
Jack Adams,1
Cy Denneny,1
Tiny Thompson,1
Georges Boucher,1
Sylvio Mantha,1
Jack Walker,1
Syl Apps,1
Charlie Conacher,1
Hap Day,1
George Hainsworth,1
Joe Hall,1
Percy LeSueur,1
Frank Rankin,1
Maurice Richard,1
Milt Schmidt,1
Oliver Seibert,1
Bruce Stuart,1
Harry Broadbent,1
Harry Cameron,1
Rusty Crawford,1
Jack Darragh,1
Jim Gardner,1
Billy Gilmour,1
Wilfred Green,1
Riley Hern,1
Tom Hooper,1
Bowse Hutton,1
Harry Hyland,1
Jack Laviolette,1
Steamer Maxwell,1
Billy McGimsie,1
Reg Noble,1
Didier Pitre,1
Jack Ruttan,1
David Schriner,1
Joe Simpson,1
Alf Smith,1
Barney Stanley,1
Marty Walsh,1
Harry E. Watson,1
Harry Westwick,1
Fred Whitcroft,1
Phat Wilson,1
Ebbie Goodfellow,1
Joe Primeau,1
Earl Seibert,1
Doug Bentley,1
Bill Durnan,1
Babe Siebert,1
Jack Stewart,1
Marty Barry,1
Clint Benedict,1
Art Farrell,1
Red Horner,1
Syd Howe,1
Jack Marshall,1
Bill Mosienko,1
Blair Russell,1
Ernie Russell,1
Fred Scanlon,1
Max Bentley,1
Toe Blake,1
Butch Bouchard,1
Frank Brimsek,1
Ted Kennedy,1
Elmer Lach,1
Ted Lindsay,1
Babe Pratt,1
Ken Reardon,1
Turk Broda,1
Neil Colville,1
Harry Oliver,1
Bill Cowley,1
Sid Abel,1
"Bryan Hextall, Sr.",1
Red Kelly,1
Roy Worters,1
Babe Dye,1
Bill Gadsby,1
Tom Johnson,1
Busher Jackson,1
Gord Roberts,1
Terry Sawchuk,1
Cooney Weiland,1
Jean Beliveau,1
Bernard Geoffrion,1
Hap Holmes,1
Gordie Howe,1
Hooley Smith,1
Doug Harvey,1
Chuck Rayner,1
Tommy Smith,1
Billy Burch,1
Art Coulter,1
Tommy Dunderdale,1
Dickie Moore,1
George Armstrong,1
Ace Bailey,1
Gordie Drillon,1
Glenn Hall,1
Pierre Pilote,1
Johnny Bower,1
Bill Quackenbush,1
Alex Delvecchio,1
Tim Horton,1
Andy Bathgate,1
Jacques Plante,1
Marcel Pronovost,1
Harry Howell,1
Bobby Orr,1
Henri Richard,1
Harry Lumley,1
Lynn Patrick,1
Gump Worsley,1
Johnny Bucyk,1
Frank Mahovlich,1
Allan Stanley,1
Yvan Cournoyer,1
Rod Gilbert,1
Norm Ullman,1
Ken Dryden,1
Bobby Hull,1
Stan Mikita,1
Phil Esposito,1
Jacques Lemaire,1
Bernie Parent,1
Gerry Cheevers,1
Bert Olmstead,1
Jean Ratelle,1
Leo Boivin,1
Dave Keon,1
Serge Savard,1
Bobby Clarke,1
Ed Giacomin,1
Jacques Laperriere,1
Tony Esposito,1
Guy Lafleur,1
Buddy O'Connor,1
Brad Park,1
Herbie Lewis,1
Darryl Sittler,1
Vladislav Tretiak,1
Bill Barber,1
Fernie Flaman,1
Gilbert Perreault,1
Mike Bossy,1
Denis Potvin,1
Bob Pulford,1
Clint Smith,1
Marcel Dionne,1
Woody Dumart,1
Bob Gainey,1
Lanny McDonald,1
Guy Lapointe,1
Edgar Laprade,1
Steve Shutt,1
Billy Smith,1
Lionel Conacher,1
Harry Watson,1
Bun Cook,1
Larry Robinson,1
Bobby Bauer,1
Borje Salming,1
Mario Lemieux,1
Bryan Trottier,1
Roy Conacher,1
Michel Goulet,1
Peter Stastny,1
Wayne Gretzky,1
Joe Mullen,1
Denis Savard,1
Vyacheslav Fetisov,1
Mike Gartner,1
Dale Hawerchuk,1
Jari Kurri,1
Bernie Federko,1
Clark Gillies,1
Rod Langway,1
Grant Fuhr,1
Pat LaFontaine,1
Raymond Bourque,1
Paul Coffey,1
Larry Murphy,1
Valeri Kharlamov,1
Cam Neely,1
Dick Duff,1
Patrick Roy,1
Ron Francis,1
Al MacInnis,1
Mark Messier,1
Scott Stevens,1
Glenn Anderson,1
Igor Larionov,1
Brett Hull,1
Brian Leetch,1
Luc Robitaille,1
Steve Yzerman,1
Dino Ciccarelli,1
Cammi Granato,1
Angela James,1
Ed Belfour,1
Doug Gilmour,1
Mark Howe,1
Joe Nieuwendyk,1
Pavel Bure,1
Adam Oates,1
Joe Sakic,1
Mats Sundin,1
Chris Chelios,1
Geraldine Heaney,1
Scott Niedermayer,1
Brendan Shanahan,1
Rob Blake,1
Peter Forsberg,1
Dominik Hasek,1
Mike Modano,1
Sergei Fedorov,1
Phil Housley,1
Nicklas Lidstrom,1
Chris Pronger,1
Angela Ruggiero,1
Eric Lindros,1
Sergei Makarov,1
Rogie Vachon,1
Dave Andreychuk,1
Danielle Goyette,1
Paul Kariya,1
Mark Recchi,1
Teemu Selanne,1
Martin Brodeur,1
Jayna Hefford,1
Martin St. Louis,1
Alexander Yakushev,1
Guy Carbonneau,1
Vaclav Nedomansky,1
Hayley Wickenheiser,1
Sergei Zubov,1
Marian Hossa,1
Jarome Iginla,1
Kevin Lowe,1
Kim St-Pierre,1
Doug Wilson,1
