Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Jaromir Jagr,1733,766,1155,1921,1.108,1167,1,1990,2018,9,2,10,0
Joe Thornton,1641,421,1090,1511,0.921,1250,1,1997,2021,2,0,6,0
Alexander Ovechkin,1156,707,576,1283,1.11,719,1,2005,2021,18,1,7,0
Sidney Crosby,989,465,803,1268,1.2819999999999998,677,1,2005,2021,11,3,4,0
Patrick Marleau,1728,562,627,1189,0.688,517,1,1997,2021,0,0,3,0
Yevgeni Malkin,912,417,661,1078,1.182,960,1,2006,2021,6,3,4,0
Henrik Sedin,1330,240,830,1070,0.805,680,1,2000,2018,2,0,3,0
Daniel Sedin,1306,393,648,1041,0.797,546,1,2000,2018,2,0,3,0
Patrick Kane,978,392,635,1027,1.05,380,1,2007,2021,5,3,9,0
Eric Staal,1245,437,586,1023,0.8220000000000001,818,1,2003,2021,0,1,6,0
Shane Doan,1540,402,570,972,0.631,1353,1,1995,2017,0,0,2,0
Ryan Getzlaf,1058,274,693,967,0.914,892,1,2005,2021,0,1,3,0
Henrik Zetterberg,1082,337,623,960,0.887,401,1,2002,2021,1,1,0,0
Anze Kopitar,1077,333,623,956,0.888,296,1,2006,2021,0,2,5,0
Jason Spezza,1129,341,601,942,0.8340000000000001,576,1,2002,2021,0,0,2,0
Nicklas Backstrom,961,246,686,932,0.97,462,1,2007,2021,0,1,1,0
Ilya Kovalchuk,926,443,433,876,0.946,544,1,2001,2020,1,0,3,0
Patrice Bergeron,1093,353,519,872,0.7979999999999999,424,1,2003,2021,0,1,2,0
Phil Kessel,1071,375,490,865,0.8079999999999999,320,1,2006,2021,0,2,3,0
Steven Stamkos,806,424,414,838,1.04,499,1,2008,2021,2,1,6,0
Claude Giroux,895,257,562,819,0.915,382,1,2007,2021,0,0,6,0
Marian Gaborik,1035,407,408,815,0.787,492,1,2000,2021,0,1,3,0
Jonathan Toews,943,345,470,815,0.8640000000000001,525,1,2007,2021,1,3,4,0
Rick Nash,1060,437,368,805,0.759,750,1,2002,2018,1,0,6,0
Corey Perry,1045,377,420,797,0.763,1180,1,2005,2021,2,1,4,0
Justin Williams,1264,320,477,797,0.631,766,1,2000,2020,1,3,1,0
Joe Pavelski,1031,371,425,796,0.772,400,1,2006,2021,0,0,3,0
Zach Parise,1020,387,406,793,0.777,380,1,2005,2021,0,0,1,0
Mike Ribeiro,1074,228,565,793,0.738,577,1,1999,2017,0,0,1,0
Thomas Vanek,1029,373,416,789,0.767,547,1,2005,2019,0,0,1,0
John Tavares,820,349,427,776,0.946,367,1,2009,2021,0,0,6,0
Blake Wheeler,935,266,499,765,0.818,615,1,2008,2021,0,0,2,0
Jeff Carter,1044,383,354,737,0.706,537,1,2005,2021,0,2,2,0
Matt Cullen,1516,266,465,731,0.482,592,1,1997,2019,0,3,0,0
Jason Pominville,1060,293,434,727,0.6859999999999999,199,1,2003,2019,0,0,1,0
Paul Stastny,949,250,476,726,0.765,438,1,2006,2021,0,0,1,0
Mikko Koivu,1028,205,504,709,0.69,592,1,2005,2021,0,0,0,0
Scott Hartnell,1249,327,380,707,0.5660000000000001,1809,1,2000,2018,0,0,1,0
Marc Savard,807,207,499,706,0.875,737,1,1997,2017,0,1,2,0
Jakub Voracek,920,208,493,701,0.762,467,1,2008,2021,0,0,1,0
Brent Burns,1118,211,486,697,0.623,691,2,2003,2021,1,0,6,0
David Krejci,915,207,482,689,0.753,327,1,2006,2021,0,1,0,0
Jamie Benn,815,300,388,688,0.8440000000000001,615,1,2009,2021,1,0,2,0
Zdeno Chara,1558,205,452,657,0.422,1958,2,1997,2021,1,1,6,0
Dustin Brown,1187,300,355,655,0.552,706,1,2003,2021,0,2,1,0
Brad Marchand,755,291,359,650,0.861,758,1,2009,2021,0,1,2,0
Michael Cammalleri,906,294,348,642,0.7090000000000001,425,1,2002,2018,0,0,0,0
Tyler Seguin,741,279,356,635,0.857,223,1,2010,2021,0,1,6,0
Radim Vrbata,1057,284,339,623,0.589,294,1,2001,2018,0,0,1,0
Alexander Steen,1018,245,377,622,0.611,454,1,2005,2021,0,1,0,0
Patrick Sharp,939,287,333,620,0.66,536,1,2002,2018,0,3,1,0
Chris Kunitz,1022,268,351,619,0.606,746,1,2003,2019,0,4,0,0
Duncan Keith,1143,101,513,614,0.537,631,2,2005,2021,3,3,4,0
Tomas Plekanec,1001,233,375,608,0.607,543,1,2003,2019,0,0,0,0
Erik Karlsson,741,135,470,605,0.816,354,2,2009,2021,2,0,6,0
Brian Gionta,1026,291,304,595,0.58,377,1,2001,2018,0,1,0,0
Loui Eriksson,968,250,343,593,0.613,192,1,2006,2021,0,0,1,0
Matt Duchene,797,245,346,591,0.742,192,1,2009,2021,0,0,2,0
Ryan Suter,1147,90,501,591,0.515,655,2,2005,2021,0,0,3,0
Mike Fisher,1104,278,311,589,0.534,815,1,1999,2018,0,0,0,0
Keith Yandle,978,100,476,576,0.589,566,2,2006,2021,0,0,3,0
Shea Weber,995,219,355,574,0.5770000000000001,687,2,2005,2021,0,0,7,0
Ryan Kesler,1001,258,315,573,0.5720000000000001,920,1,2003,2021,0,0,2,0
Ales Hemsky,845,174,398,572,0.677,353,1,2002,2018,0,0,0,0
Andrei Markov,990,119,453,572,0.578,505,2,2000,2017,0,0,2,0
T.J. Oshie,808,238,333,571,0.7070000000000001,410,1,2008,2021,0,1,1,0
Taylor Hall,632,219,350,569,0.9,350,1,2010,2021,1,0,2,0
Jussi Jokinen,951,191,372,563,0.5920000000000001,377,1,2005,2018,0,0,0,0
Ryan O'Reilly,808,195,366,561,0.6940000000000001,110,1,2009,2021,1,1,3,0
Bobby Ryan,837,258,301,559,0.6679999999999999,460,1,2007,2021,0,0,1,0
Max Pacioretty,768,283,275,558,0.727,421,1,2008,2021,0,0,1,0
David Backes,950,245,312,557,0.586,1144,1,2006,2021,0,0,1,0
David Perron,854,223,328,551,0.645,650,1,2007,2021,0,1,1,0
Logan Couture,720,258,292,550,0.764,191,1,2009,2021,0,0,1,0
Nikita Kucherov,515,221,326,547,1.062,261,1,2013,2021,3,1,3,0
James Neal,822,289,256,545,0.6629999999999999,570,1,2008,2021,0,0,3,0
Kris Letang,813,127,412,539,0.6629999999999999,584,2,2006,2021,0,3,6,0
Andrew Ladd,950,249,289,538,0.5660000000000001,568,1,2005,2020,0,2,0,0
Jordan Staal,962,225,312,537,0.5579999999999999,475,1,2006,2021,0,1,0,0
Travis Zajac,995,196,337,533,0.536,340,1,2006,2021,0,0,0,0
Dustin Byfuglien,869,177,348,525,0.604,1094,2,2005,2020,0,1,3,0
Milan Lucic,961,206,316,522,0.5429999999999999,1130,1,2007,2021,0,1,0,0
Jordan Eberle,728,227,294,521,0.716,172,1,2010,2021,0,0,1,0
Bryan Little,843,217,304,521,0.618,293,1,2007,2021,0,0,0,0
Antoine Vermette,1046,228,287,515,0.4920000000000001,622,1,2003,2018,0,1,0,0
Valtteri Filppula,1023,191,324,515,0.503,336,1,2005,2021,0,1,0,0
Kyle Okposo,800,196,310,506,0.633,443,1,2007,2021,0,0,1,0
Drew Doughty,923,118,386,504,0.546,637,2,2008,2021,1,2,5,0
Brian Campbell,1082,87,417,504,0.466,277,2,1999,2017,0,1,4,0
Nathan MacKinnon,530,192,310,502,0.947,197,1,2013,2021,1,0,4,0
Mike Green,880,150,351,501,0.569,592,2,2005,2020,0,0,2,0
Wayne Simmonds,915,251,248,499,0.545,1138,1,2008,2021,0,0,1,0
Dion Phaneuf,1048,137,357,494,0.471,1345,2,2005,2019,0,0,3,0
Derick Brassard,857,187,300,487,0.568,407,1,2007,2021,0,0,0,0
James van Riemsdyk,746,250,236,486,0.6509999999999999,307,1,2009,2021,0,0,0,0
Mark Giordano,896,135,350,485,0.541,745,2,2005,2021,1,0,3,0
Patric Hornqvist,772,241,243,484,0.627,395,1,2008,2021,0,2,0,0
John Carlson,762,106,376,482,0.633,260,2,2009,2021,0,1,2,0
Derek Stepan,743,168,313,481,0.647,188,1,2010,2021,0,0,0,0
Josh Bailey,869,154,323,477,0.5489999999999999,231,1,2008,2021,0,0,1,0
Connor McDavid,357,166,310,476,1.3330000000000002,124,1,2015,2021,5,0,4,0
Victor Hedman,765,105,371,476,0.622,560,2,2009,2021,2,1,2,0
Lee Stempniak,911,203,266,469,0.515,327,1,2005,2019,0,0,0,0
Frans Nielsen,900,166,303,469,0.521,166,1,2006,2021,0,0,1,0
Nick Foligno,913,198,270,468,0.513,744,1,2007,2021,0,0,1,0
Jeff Skinner,725,258,208,466,0.643,324,1,2010,2021,1,0,2,0
Gabriel Landeskog,638,201,264,465,0.7290000000000001,491,1,2011,2021,1,0,1,0
Brent Seabrook,1114,103,361,464,0.417,661,2,2005,2021,0,3,1,0
Evander Kane,718,243,218,461,0.642,960,1,2009,2021,0,0,0,0
Sam Gagner,848,164,295,459,0.541,385,1,2007,2021,0,0,0,0
Alex Pietrangelo,763,110,343,453,0.594,241,2,2008,2021,0,1,2,0
Mark Scheifele,523,182,267,449,0.8590000000000001,225,1,2011,2021,0,0,2,0
Johnny Gaudreau,467,153,296,449,0.961,100,1,2013,2021,0,0,5,0
Ryan Nugent-Hopkins,610,171,277,448,0.7340000000000001,201,1,2011,2021,0,0,1,0
Milan Michalek,747,208,238,446,0.597,394,1,2003,2017,0,0,1,0
Ryan Johansen,664,144,299,443,0.667,409,1,2011,2021,0,0,1,0
Jonathan Huberdeau,538,149,292,441,0.82,253,1,2012,2021,1,0,1,0
Brandon Dubinsky,823,153,285,438,0.532,905,1,2006,2021,0,0,0,0
Tyler Bozak,737,162,272,434,0.589,212,1,2009,2021,0,1,0,0
Mark Streit,786,96,338,434,0.552,374,2,2005,2018,0,1,1,0
Brayden Schenn,662,181,251,432,0.653,357,1,2009,2021,0,1,1,0
