Player,All-Star Games
Wayne Gretzky,18
Mario Lemieux,10
Joe Sakic,12
Gordie Howe,23
Mark Messier,15
Raymond Bourque,19
Alexander Ovechkin,7
Mats Sundin,8
Rick Nash,6
Patrick Kane,9
John Tavares,6
Luc Robitaille,8
Pavel Bure,6
Brent Burns,6
Frank Mahovlich,15
Sidney Crosby,4
Johnny Gaudreau,5
Jaromir Jagr,10
Connor McDavid,4
Adam Oates,5
Theo Fleury,7
Pierre Turgeon,4
Mark Recchi,7
Tyler Seguin,6
Teemu Selanne,10
Jeremy Roenick,9
Brett Hull,8
Marian Hossa,5
Mike Modano,7
Paul Coffey,14
Shea Weber,7
Cam Atkinson,2
Kris Letang,6
Seth Jones,3
Claude Giroux,6
Ted Lindsay,11
Bobby Hull,12
Jonathan Toews,4
Tony Amonte,5
Drew Doughty,5
Sergei Fedorov,6
Markus Naslund,5
Scott Stevens,13
Larry Robinson,10
Maurice Richard,13
Dany Heatley,3
Denis Potvin,9
Henri Richard,10
Ryan O'Reilly,3
Roman Josi,3
Vincent Damphousse,3
Marian Gaborik,3
David Pastrnak,2
Rick Tocchet,4
Daniel Alfredsson,6
Martin St. Louis,6
Steven Stamkos,6
Paul Kariya,7
Mathew Barzal,2
Jack Eichel,3
Anze Kopitar,5
Sandis Ozolins,7
Norm Ullman,11
Justin Faulk,3
Nicklas Lidstrom,11
Red Kelly,12
Doug Harvey,13
Eric Staal,6
Mike Gartner,7
Nikita Kucherov,3
Gabriel Landeskog,1
Joe Mullen,3
Erik Karlsson,6
Rick Martin,7
Jean Beliveau,13
Daniel Briere,2
Victor Hedman,2
Taylor Hall,2
Joe Pavelski,3
Daniel Sedin,3
Bill Guerin,4
Yevgeni Malkin,4
Corey Perry,4
Denis Savard,7
Mats Naslund,3
Henrik Sedin,3
Vladimir Tarasenko,3
Patrik Elia,4
Guy Lafleur,6
Mikko Rantanen,1
Leon Draisaitl,2
James Neal,3
Jakub Voracek,1
Sheldon Souray,3
Zdeno Chara,6
Andy Bathgate,8
Alex Delvecchio,13
Matthew Tkachuk,1
Martin Havlat,2
Peter Forsberg,5
Ed Jovanovski,5
Murray Oliver,5
Jarome Iginla,6
Marcel Dionne,8
Jari Kurri,8
Stan Mikita,9
Steve Yzerman,9
Quinn Hughes,1
Ed Litzenberger,6
Dickie Moore,6
Chris Chelios,11
Tomas Hertl,1
Owen Nolan,5
Anthony Duclair,1
Alexei Kovalev,3
Kevin Stevens,3
Pat Lafontaine,5
John Leclair,5
Keith Tkachuk,5
Eric Lindros,6
Phil Esposito,10
Mike Green,2
Don Maloney,2
Earl Reibel,2
Ryan Getzlaf,3
Milan Hejduk,3
Rick Vaive,3
Alexander Mogilny,4
Darryl Sittler,4
Cam Neely,5
Kirk Muller,6
Peter Stastny,6
Al MacInnis,12
Tyler Bertuzzi,1
Patrice Bergeron,2
Marc Savard,2
Blake Wheeler,2
Brad Marchand,2
Aaron Ekblad,2
Brian Campbell,4
Dino Ciccarelli,4
Peter Bondra,5
Harry Watson,7
Joe Nieuwendyk,4
Dale Hawerchuk,5
Brendan Shanahan,8
Brian Bellows,3
Lanny McDonald,4
Brian Propp,5
Loui Eriksson,1
Brian Rolston,1
Ryan Johansen,1
Bo Horvat,1
Dave Andreychuk,2
Dustin Byfuglien,3
Patrick Marleau,3
Alexei Yashin,3
Dean Prentice,4
Scott Niedermayer,5
John Ogrodnick,5
Mike Bossy,7
Bryan Trottier,8
Olli Jokinen,1
Cam Fowler,1
Vincent Trocheck,1
Jeff Carter,2
Pete Mahovlich,2
Jason Spezza,2
Ron Francis,4
Doug Weight,4
Red Berenson,6
Rob Blake,7
Johnny Bucyk,7
Garry Unger,7
Brad Park,9
Fredrik Modin,1
Pavel Datsyuk,3
Mark Giordano,3
Bobby Rousseau,3
Kevin Hatcher,5
Joe Thornton,6
Phil Housley,7
Wayne Simmonds,1
Pavol Demitra,3
P.K. Subban,3
Eric Daze,1
Rickard Rakell,1
Jonathan Huberdeau,1
Sebastian Aho,1
Nico Hischier,1
Brock Boeser,1
Radek Bonk,2
Shane Doan,2
Pierre Larouche,2
Mark Scheifele,2
Elias Pettersson,2
Dion Phaneuf,3
Gary Roberts,3
Auston Matthews,3
Max Bentley,4
Pit Martin,4
Marty Pavelich,4
Doug Bentley,5
Jacques Laperriere,5
Bill Barber,6
Yvan Cournoyer,6
Bob Pulford,6
Allan Stanley,7
Patrick Sharp,1
Max Pacioretty,1
Brayden Point,1
Jay Bouwmeester,2
Dan Boyle,2
Ryan Kesler,2
Lowell MacDonald,2
Terry O'Reilly,2
Pat Verbeek,2
Ray Whitney,2
Matt Duchene,2
