playerID,firstName,lastName,HOF,year_first,year_last,seasons,GP,G,A,Pts,PIM,+/-,PPG,PPA,SHG,SHA,GWG,GTG,SOG,PostGP,PostG,PostA,PostPts,PostPIM,Post+/-,PostPPG,PostPPA,PostSHG,PostSHA,PostGWG,PostSOG
aaltoan01,Antti,Aalto,0,1997,2000,4,151,11,17,28,52,-25,3,1,0,0,1,0,182,4,0,0,0,2,0,0,0,0,0,0,0
abbotge01,George,Abbott,0,1943,1943,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotre01,Reg,Abbott,0,1952,1952,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdelju01,Justin,Abdelkader,0,2007,2011,5,209,18,29,47,160,8,0,0,0,1,2,0,337,37,3,2,5,60,-6,0,0,0,0,0,47
abelcl01,Clarence,Abel,0,1926,1933,8,333,20,18,38,359,0,0,0,0,0,0,0,0,38,1,1,2,58,0,0,0,0,0,0,0
abelge01,Gerry,Abel,0,1966,1966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelsi01,Sid,Abel,1,1938,1953,16,612,189,283,472,376,0,0,0,0,0,0,0,0,97,28,30,58,79,0,0,0,0,0,0,0
abgrade01,Dennis,Abgrall,0,1975,1975,1,13,0,2,2,4,-7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
abidra01,Ramzi,Abid,0,2002,2006,5,68,14,16,30,78,-11,6,4,0,0,4,0,112,2,0,0,0,0,-1,0,0,0,0,0,0
abrahth01,Thommy,Abrahamsson,0,1980,1980,1,32,6,11,17,16,-4,4,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0
achtyge01,Gene,Achtymichuk,0,1951,1958,8,32,3,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acombdo01,Doug,Acomb,0,1969,1969,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actonke01,Keith,Acton,0,1979,1993,15,1023,226,358,584,1172,-24,33,5,11,3,29,6,1690,66,12,21,33,88,2,2,0,0,0,5,90
adamdo01,Douglas,Adam,0,1949,1949,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamlu01,Luke,Adam,0,2010,2011,2,71,13,11,24,26,-12,0,4,0,0,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0
adamru01,Russ,Adam,0,1982,1982,1,8,1,2,3,11,-3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
adamsbr01,Bryan,Adams,0,1999,2000,2,11,0,1,1,2,-5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
adamscr01,Craig,Adams,0,2000,2011,12,751,46,87,133,565,-64,3,1,6,10,6,0,748,78,6,3,9,62,-2,0,0,0,1,1,63
adamsgr01,Greg,Adams,0,1980,1989,10,545,84,143,227,1173,1,11,4,0,0,5,0,696,43,2,11,13,153,-3,1,1,0,0,0,51
adamsgr02,Greg,Adams,0,1984,2000,17,1056,355,388,743,326,-48,122,94,7,11,31,4,2326,81,20,22,42,16,8,7,9,0,0,5,181
adamsja01,Jack,Adams,1,1917,1926,10,173,83,32,115,366,0,0,0,0,0,0,0,0,10,2,0,2,13,0,0,0,0,0,0,0
adamsjo01,John,Adams,0,1940,1940,1,42,6,12,18,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
adamsjo02,John,Adams,0,1972,1974,3,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamske01,Kevyn,Adams,0,1997,2007,11,540,59,77,136,317,-38,0,4,8,8,8,0,876,67,2,2,4,39,-9,0,1,1,0,0,81
adamsst01,Stew,Adams,0,1929,1932,4,95,9,26,35,60,0,0,0,0,0,0,0,0,11,3,3,6,14,0,0,0,0,0,0,0
adduori01,Rick,Adduono,0,1975,1979,5,4,0,0,0,2,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aebisda01,David,Aebischer,0,2000,2007,8,214,0,5,5,30,0,0,4,0,0,0,0,1,13,0,0,0,4,0,0,0,0,0,0,0
afanadm01,Dmitry,Afanasenkov,0,2000,2006,7,227,27,27,54,52,-36,1,5,0,0,1,0,281,28,1,3,4,8,-4,0,0,0,0,0,39
afflebr01,Bruce,Affleck,0,1974,1983,10,280,14,66,80,86,-82,4,0,0,0,2,0,370,8,0,0,0,0,0,0,0,0,0,0,0
afinoma01,Maxim,Afinogenov,0,1999,2009,11,651,158,237,395,486,-43,38,78,1,0,23,1,1557,49,10,13,23,22,5,3,3,0,0,2,107
agnewji01,Jim,Agnew,0,1986,1992,7,81,0,1,1,257,-9,0,0,0,0,0,0,32,4,0,0,0,6,-2,0,0,0,0,0,2
ahernfr01,Fred,Ahern,0,1974,1977,4,146,31,30,61,130,-47,7,0,0,0,6,3,246,2,0,1,1,2,0,0,0,0,0,0,0
ahlinru01,Rudy,Ahlin,0,1937,1937,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aholape01,Peter,Ahola,0,1991,1993,3,123,10,17,27,137,2,0,3,0,1,0,1,115,6,0,0,0,2,4,0,0,0,0,0,8
ahrench01,Chris,Ahrens,0,1972,1977,6,52,0,3,3,84,-26,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0
aikendo01,Don,Aiken,0,1957,1957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ailsbll01,Lloyd,Ailsby,0,1951,1951,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aitkean01,Andy,Aitkenhead,0,1932,1934,3,106,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
aitkebr01,Brad,Aitken,0,1987,1990,4,14,1,3,4,25,-2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
aitkejo01,Johnathan,Aitken,0,1999,2003,5,44,0,1,1,70,-12,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
aivazmi01,Micah,Aivazoff,0,1993,1995,3,92,4,6,10,46,-9,0,2,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
alatami01,Mika,Alatalo,0,1999,2000,2,152,17,29,46,58,-2,1,1,0,0,2,0,171,5,0,0,0,2,1,0,0,0,0,0,2
albelto01,Tommy,Albelin,0,1987,2005,19,952,44,211,255,417,52,16,79,3,6,8,0,1137,81,7,15,22,22,8,2,6,0,0,2,85
alberan01,Andrew,Alberts,0,2005,2011,7,425,8,46,54,460,8,0,1,1,2,2,0,232,27,0,2,2,43,-6,0,0,0,0,0,16
albricl01,Clint,Albright,0,1948,1948,1,59,14,5,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aldcoga01,Gary,Aldcorn,0,1956,1960,5,226,41,56,97,78,0,0,0,0,0,0,0,0,6,1,2,3,4,0,0,0,0,0,0,0
aldrike01,Keith,Aldridge,0,1999,1999,1,4,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
alexaar01,Art,Alexandre,0,1931,1932,2,11,0,2,2,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
alexacl01,Claire,Alexander,0,1974,1977,4,155,18,47,65,36,0,8,0,0,0,1,1,302,16,2,4,6,4,0,1,0,0,0,0,0
alexeni01,Nikita,Alexeev,0,2001,2006,6,159,20,17,37,28,-8,4,3,0,0,4,1,216,11,1,0,1,0,-3,0,0,0,0,0,13
alfreda01,Daniel,Alfredsson,0,1995,2011,17,1131,416,666,1082,467,152,128,271,25,17,67,7,3219,111,47,43,90,68,-4,22,23,2,0,11,340
aliuak01,Akim,Aliu,0,2011,2011,1,2,2,1,3,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
allanje01,Jeff,Allan,0,1977,1977,1,4,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
allenbo01,Bobby,Allen,0,2002,2007,6,51,0,3,3,12,-3,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
allenbr01,Bryan,Allen,0,2000,2011,12,601,29,89,118,724,7,1,5,1,4,5,0,601,8,0,0,0,6,-1,0,0,0,0,0,1
allench01,Chris,Allen,0,1997,1998,2,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
allenge01,George,Allen,0,1938,1946,9,339,82,115,197,179,0,0,0,0,0,0,0,0,41,9,10,19,32,0,0,0,0,0,0,0
allenke01,Keith,Allen,1,1953,1954,2,28,0,4,4,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
allenpe01,Peter,Allen,0,1995,1995,1,8,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
allenvi01,Viv,Allen,0,1940,1940,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alleyst01,Steve,Alley,0,1979,1980,2,15,3,3,6,11,-3,0,0,0,0,0,0,15,3,0,1,1,0,0,0,0,0,0,0,0
allisda01,Dave,Allison,0,1983,1983,1,3,0,0,0,12,-2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
allisja01,Jason,Allison,0,1993,2005,13,552,154,331,485,441,17,44,169,4,3,26,6,994,25,7,18,25,14,3,2,7,0,0,1,56
