Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Wayne Gretzky,1487,894,1963,2857,1.921,577,1,1979,1999,26,4,18,1,-0.12713896,2.8016212,3.2336655,1.1946955,1.3715365,0.8545909,-0.54610837,1.3965603,3.4155395,3.8667102,-4.187,13.401811874389647,0.9999984876009405
Jaromir Jagr,1733,766,1155,1921,1.1079999999999999,1167,1,1990,2018,9,2,10,0,-0.089989126,2.7881033,3.0891085,1.088733,1.5112548,1.3644093,-0.6469046,1.3965603,-0.29248053,4.5423245,-4.187,10.654108322143554,0.9999763968864732
Mark Messier,1756,694,1193,1887,1.075,1910,1,1979,2004,5,6,15,1,0.21881838,2.9126456,2.7896168,1.2019217,0.72629,-1.2193886,-0.5396429,1.3965603,3.5284545,4.2030854,-4.187,10.812542236328124,0.999979855159992
Gordie Howe,1767,801,1049,1850,1.047,1685,1,1946,1980,12,4,23,1,0.21881838,2.9126456,3.0846665,1.2019217,0.72629,-1.2193886,-0.5396429,1.3965603,3.177184,4.2593055,-4.187,10.812542236328124,0.999979855159992
Ron Francis,1731,549,1249,1798,1.0390000000000001,979,1,1981,2004,0,2,4,1,-0.21545063,2.9801266,3.0368435,1.619951,0.77612555,0.9185794,-0.63745046,-0.19277467,-0.2826236,0.741281,-4.187,4.773058212280273,0.9916163940962629
Marcel Dionne,1348,731,1040,1771,1.314,600,1,1971,1989,3,0,8,1,-1.0861936,2.5572326,3.1880121,1.0318094,1.7301025,0.9180836,-0.65337014,1.3965603,-1.212765,4.249877,-4.187,9.018542564392089,0.9998788721186269
Steve Yzerman,1514,692,1063,1755,1.159,924,1,1983,2006,2,3,9,1,-0.018233486,3.0807188,3.0846665,1.2446024,1.5355914,1.2227393,-0.5301887,1.3965603,3.177184,4.2593055,-4.187,14.284179962158202,0.9999993741659444
Mario Lemieux,915,690,1033,1723,1.883,834,1,1984,2006,16,2,10,1,0.7578399,2.7558134,3.1639588,1.1237768,1.9399707,1.6175476,-0.63745046,1.3965603,-0.25850096,4.0772853,-4.187,10.99196270751953,0.9999831638053208
Joe Sakic,1378,625,1016,1641,1.1909999999999998,614,1,1988,2009,3,2,12,1,-1.0861936,2.5332901,3.2381074,1.0318094,1.5783708,1.0300033,-0.65337014,1.3965603,-0.14161803,4.2266936,-4.187,10.052847183227538,0.9999569388881436
Phil Esposito,1282,717,873,1590,1.24,910,1,1963,1981,9,2,10,1,-0.90941536,2.8123877,3.0891085,1.0817168,1.7535307,1.2807912,-0.63745046,1.3965603,-0.29248053,4.5423245,-4.187,10.839489257812499,0.9999803907441757
Raymond Bourque,1612,410,1169,1579,0.98,1141,2,1979,2001,6,1,19,1,0.18550418,0.077095896,3.2565048,1.1935799,2.3878362,1.4500294,1.6429436,1.3965603,-0.8458657,4.96127,-4.187,11.332954681396483,0.9999880283194706
Mark Recchi,1652,577,956,1533,0.9279999999999999,1033,1,1988,2011,0,3,7,1,0.22166912,3.27924,3.3473985,1.5397544,1.0705893,1.356299,-0.5301887,-0.30846474,3.177184,3.9822176,-4.187,12.727030075073241,0.9999970302507752
Paul Coffey,1409,396,1135,1531,1.087,1802,2,1980,2001,3,4,14,1,-0.8732115,0.31283808,3.3492072,1.2709205,1.5554435,-1.3147717,1.3618941,1.3965603,2.8925757,4.649345,-4.187,11.287012374877929,0.9999874654898973
Joe Thornton,1641,421,1090,1511,0.9209999999999999,1250,1,1997,2021,2,0,6,0,-0.18458079,0.05944936,2.9951859,0.97761947,1.0469575,1.1691742,-0.68717676,1.3965603,-1.2051774,3.571721,-4.187,5.13731411743164,0.9941608519809333
Stan Mikita,1394,541,926,1467,1.052,1270,1,1958,1980,6,1,9,1,-0.9877155,2.707043,2.9936142,1.0670564,0.8934275,1.3157346,-0.6469046,1.3965603,-0.94956845,4.565508,-4.187,9.155470169067382,0.9998943708099368
Teemu Selanne,1451,684,773,1457,1.004,660,1,1992,2014,2,1,10,1,0.08315937,2.543914,2.9566429,0.95587486,0.2034966,1.3655444,-0.65337014,1.3965603,-1.0693604,4.463463,-4.187,7.975765502929687,0.999656426376381
Bryan Trottier,1279,524,901,1425,1.114,912,1,1975,1994,4,6,8,1,-0.8333577,3.0807188,2.7896168,1.2229259,1.7535307,1.2227393,-0.5301887,1.3965603,3.5284545,4.2030854,-4.187,14.480444229125975,0.9999994856926245
Adam Oates,1337,341,1079,1420,1.062,415,1,1985,2004,0,0,5,1,-1.7501274,-0.032398,3.4491901,1.4193113,1.0731137,-2.064174,-0.6936424,-0.19277467,-1.3073653,1.4194256,-4.187,-1.1163138980865481,0.24669565756220607
Doug Gilmour,1474,450,964,1414,0.9590000000000001,1299,1,1983,2003,0,1,2,1,-0.22798541,0.36575878,3.1931481,1.6808337,2.937453,0.77614427,-0.6670983,-0.11947112,-1.0553378,-0.08299619,-4.187,2.841433799743652,0.9448741921316345
Dale Hawerchuk,1188,518,891,1409,1.186,740,1,1981,1997,1,0,5,1,-1.1986041,2.6963232,2.9615533,1.1256807,2.1759775,1.4155382,-0.65337014,0.5712319,-1.3249692,1.7492511,-4.187,6.5302164916992185,0.998543434656013
Jari Kurri,1251,601,797,1398,1.1179999999999999,545,1,1980,1998,0,5,8,1,-1.1437995,2.8354445,3.5626442,1.3851595,1.5916095,-1.0730374,-0.54610837,-0.30846474,3.4717603,3.1903446,-4.187,9.922352111816405,0.9999509367941722
Luc Robitaille,1431,668,726,1394,0.9740000000000001,1177,1,1986,2006,1,1,8,1,0.16178702,2.9144433,2.6701508,1.1029043,2.654614,1.5781375,-0.6571323,0.6693932,-0.94956845,4.4406095,-4.187,10.236551559448241,0.9999641650683195
Brett Hull,1269,741,650,1391,1.0959999999999999,457,1,1985,2006,2,2,8,1,-1.3066728,2.3892202,2.7592385,0.95836467,1.4603655,-1.1099852,-0.6635979,1.3965603,-0.14161803,4.295116,-4.187,7.15666226196289,0.9992209548934952
